Age Group,Gender,Nationality,Employment Status,Monthly Income,Hotel Stay Frequency,Stay Duration,Purpose of Travel,Preferred Room Type,Booking Channel,Services Used,Spa Rating,Dining Rating,Room Service Rating,Cleanliness Rating,Preferred Bundles,Service Time,In Loyalty Program,Loyalty Tier,Reward Redemption Frequency,Overall Experience Rating,Would Recommend,Comfort Spend Range,Willing to Try Offers,Issues Faced
36–50,Male,Saint Martin,Self-Employed,51K–75K,1–2 times,3–5,Business,Standard,OTA,"Spa, Restaurant",3,2,2,2,"Wellness Package, Spa + Dinner",Afternoon,Yes,Basic,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,"High Prices, Delayed Check-in, Lack of Cleanliness"
26–35,Female,Gabon,Employed,51K–75K,6–10,6–10,Leisure,Standard,Hotel Website,"Gym, Restaurant, Room Service, Spa",5,4,3,2,"Wellness Package, Spa + Dinner",Evening,Yes,Gold,Rarely,2,Definitely Yes,₹5001–₹8000,Yes,Poor Staff Behavior
26–35,Male,Rwanda,Employed,51K–75K,>10,3–5,Leisure,Standard,Hotel Website,"Restaurant, Airport Pickup, Pool",2,4,3,4,Airport Pickup + Late Checkout,Afternoon,Yes,Platinum,Rarely,4,Probably No,₹5001–₹8000,Yes,"Lack of Cleanliness, Limited Food Options"
36–50,Female,Guadeloupe,Employed,25K–50K,3–5,1–2 days,Leisure,Standard,OTA,Restaurant,3,2,4,4,"Spa + Dinner, Wellness Package",Afternoon,No,None,Sometimes,4,Probably Yes,<₹2000,Yes,"Limited Wellness Services, Delayed Check-in, Poor Staff Behavior"
51–65,Female,Singapore,Employed,<25K,>10,1–2 days,Other,Suite,OTA,"Spa, Gym, Restaurant",5,3,3,4,"Airport Pickup + Late Checkout, Spa + Dinner",Afternoon,Yes,Platinum,Frequently,4,Probably Yes,₹2000–₹5000,No,"High Prices, Lack of Cleanliness"
51–65,Female,Cote d'Ivoire,Employed,76K–1L,1–2 times,1–2 days,Business,Deluxe,OTA,Room Service,4,3,4,4,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Silver,Rarely,3,Not Sure,₹8001–₹12000,Yes,"Lack of Cleanliness, High Prices, Limited Wellness Services"
51–65,Male,Falkland Islands (Malvinas),Self-Employed,51K–75K,3–5,6–10,Leisure,Budget,Hotel Website,"Pool, Restaurant",3,3,3,2,"Gym + Breakfast, Airport Pickup + Late Checkout",Afternoon,Yes,Silver,Sometimes,3,Definitely Yes,₹8001–₹12000,Yes,"Limited Wellness Services, Lack of Cleanliness"
36–50,Female,Estonia,Unemployed,76K–1L,3–5,3–5,Leisure,Standard,Hotel Website,"Pool, Airport Pickup, Restaurant",3,3,3,3,"Gym + Breakfast, Wellness Package",Afternoon,No,None,Sometimes,3,Definitely Yes,₹5001–₹8000,Yes,
26–35,Male,Cyprus,Self-Employed,76K–1L,3–5,1–2 days,Leisure,Deluxe,Hotel Website,Pool,4,4,4,4,"Spa + Dinner, Gym + Breakfast",Evening,Yes,Basic,Rarely,4,Probably Yes,₹5001–₹8000,Yes,Limited Wellness Services
36–50,Male,Vietnam,Self-Employed,76K–1L,3–5,1–2 days,Business,Standard,Hotel Website,Spa,4,4,4,4,Spa + Dinner,Evening,No,None,Sometimes,4,Probably No,₹2000–₹5000,Yes,High Prices
36–50,Prefer not to say,Lao People's Democratic Republic,Employed,51K–75K,3–5,3–5,Leisure,Budget,OTA,"Airport Pickup, Spa",3,4,4,3,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Gold,Rarely,4,Definitely No,₹5001–₹8000,No,
36–50,Male,Mexico,Self-Employed,25K–50K,1–2 times,>10,Medical,Deluxe,OTA,"Restaurant, Spa, Airport Pickup",3,3,3,4,Spa + Dinner,Morning,Yes,Gold,Sometimes,2,Probably Yes,₹5001–₹8000,No,"High Prices, Limited Food Options, Delayed Check-in"
36–50,Female,Samoa,Student,76K–1L,3–5,3–5,Business,Deluxe,OTA,"Restaurant, Pool, Spa",3,3,3,4,"Gym + Breakfast, Spa + Dinner",Evening,Yes,Gold,Rarely,3,Definitely No,₹8001–₹12000,No,Limited Food Options
51–65,Female,Slovenia,Employed,51K–75K,1–2 times,>10,Medical,Standard,OTA,"Room Service, Restaurant",4,5,3,4,Spa + Dinner,Afternoon,No,None,Sometimes,3,Definitely Yes,₹2000–₹5000,No,"Poor Staff Behavior, Limited Food Options, Limited Wellness Services"
26–35,Female,Pitcairn Islands,Employed,25K–50K,6–10,3–5,Leisure,Budget,Walk-in,"Airport Pickup, Gym, Restaurant",3,4,3,3,"Airport Pickup + Late Checkout, Wellness Package",Evening,No,None,Rarely,4,Definitely Yes,₹8001–₹12000,No,"High Prices, Limited Wellness Services"
26–35,Female,Bahamas,Employed,76K–1L,1–2 times,1–2 days,Leisure,Budget,Agent,"Airport Pickup, Pool",5,4,3,4,"Spa + Dinner, Airport Pickup + Late Checkout",Evening,Yes,Silver,Frequently,2,Definitely Yes,₹2000–₹5000,Yes,
18–25,Male,Lesotho,Student,76K–1L,1–2 times,6–10,Leisure,Deluxe,OTA,"Pool, Room Service, Spa",4,4,5,3,"Wellness Package, Spa + Dinner",Evening,Yes,Gold,Frequently,3,Not Sure,₹5001–₹8000,Yes,"Lack of Cleanliness, High Prices, Delayed Check-in"
36–50,Male,Ghana,Employed,51K–75K,3–5,3–5,Business,Standard,Hotel Website,"Gym, Spa, Restaurant, Pool",3,3,3,2,Gym + Breakfast,Evening,Yes,Basic,Rarely,5,Probably Yes,₹5001–₹8000,No,"Lack of Cleanliness, Limited Food Options, Poor Staff Behavior"
18–25,Female,Guinea,Employed,<25K,3–5,6–10,Leisure,Standard,Agent,"Pool, Room Service, Spa",3,4,3,3,"Wellness Package, Spa + Dinner",Evening,Yes,Gold,Sometimes,3,Definitely Yes,₹5001–₹8000,Yes,Limited Food Options
26–35,Male,Belize,Unemployed,25K–50K,6–10,>10,Medical,Standard,OTA,Airport Pickup,3,3,3,3,Airport Pickup + Late Checkout,Evening,Yes,Silver,Rarely,2,Probably Yes,₹5001–₹8000,Yes,"Delayed Check-in, Limited Wellness Services"
36–50,Male,Guam,Employed,76K–1L,3–5,1–2 days,Leisure,Standard,OTA,Restaurant,3,4,3,4,Spa + Dinner,Afternoon,No,None,Sometimes,3,Probably No,₹2000–₹5000,No,Limited Food Options
26–35,Male,Marshall Islands,Employed,>1L,3–5,1–2 days,Other,Suite,OTA,"Restaurant, Room Service, Gym, Airport Pickup",3,2,3,3,"Wellness Package, Spa + Dinner",Morning,No,None,Rarely,3,Probably No,₹5001–₹8000,No,"Delayed Check-in, Lack of Cleanliness"
36–50,Male,Wallis and Futuna,Employed,25K–50K,6–10,6–10,Leisure,Deluxe,Hotel Website,"Pool, Spa, Airport Pickup",3,3,4,3,"Airport Pickup + Late Checkout, Wellness Package",Late Night,Yes,Gold,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,Limited Wellness Services
18–25,Male,New Caledonia,Self-Employed,<25K,3–5,1–2 days,Business,Deluxe,Walk-in,Gym,5,3,2,3,"Spa + Dinner, Gym + Breakfast",Afternoon,No,None,Rarely,4,Definitely Yes,<₹2000,Yes,"High Prices, Poor Staff Behavior, Limited Wellness Services"
18–25,Male,Slovakia (Slovak Republic),Employed,76K–1L,1–2 times,1–2 days,Leisure,Budget,Hotel Website,Airport Pickup,4,3,4,4,Gym + Breakfast,Evening,No,None,Rarely,3,Definitely Yes,₹2000–₹5000,Yes,"Limited Wellness Services, Limited Food Options, Poor Staff Behavior"
51–65,Female,Saint Martin,Employed,25K–50K,3–5,1–2 days,Other,Budget,OTA,"Room Service, Airport Pickup, Restaurant",4,3,4,3,Gym + Breakfast,Evening,Yes,Basic,Rarely,3,Probably No,₹5001–₹8000,Yes,
26–35,Female,Moldova,Employed,51K–75K,>10,1–2 days,Leisure,Standard,OTA,"Restaurant, Gym",4,3,3,3,"Airport Pickup + Late Checkout, Wellness Package",Morning,Yes,Platinum,Rarely,4,Definitely Yes,₹2000–₹5000,Yes,"High Prices, Poor Staff Behavior, Limited Wellness Services"
18–25,Female,British Indian Ocean Territory (Chagos Archipelago),Student,>1L,3–5,6–10,Medical,Budget,Hotel Website,"Spa, Gym, Restaurant",3,2,2,5,"Wellness Package, Airport Pickup + Late Checkout",Evening,No,None,Sometimes,4,Definitely Yes,₹2000–₹5000,No,"Limited Food Options, Poor Staff Behavior, Limited Wellness Services"
36–50,Male,Montenegro,Student,<25K,3–5,1–2 days,Medical,Suite,Agent,"Spa, Restaurant",3,4,3,4,"Wellness Package, Gym + Breakfast",Evening,No,None,Rarely,3,Not Sure,₹5001–₹8000,Yes,"Limited Food Options, Lack of Cleanliness, Delayed Check-in"
36–50,Male,Korea,Employed,51K–75K,1–2 times,3–5,Leisure,Budget,Hotel Website,"Room Service, Pool, Restaurant, Spa",4,3,3,2,Wellness Package,Evening,Yes,Gold,Frequently,3,Definitely Yes,>₹12000,Yes,"Limited Wellness Services, Delayed Check-in, Limited Food Options"
26–35,Male,South Africa,Student,<25K,1–2 times,3–5,Business,Standard,Hotel Website,"Spa, Room Service, Airport Pickup, Pool",2,2,5,2,Airport Pickup + Late Checkout,Morning,No,None,Sometimes,5,Probably Yes,₹8001–₹12000,No,
36–50,Female,Israel,Employed,25K–50K,3–5,3–5,Leisure,Standard,OTA,Spa,4,3,4,3,"Wellness Package, Airport Pickup + Late Checkout",Evening,Yes,Platinum,Rarely,3,Definitely Yes,>₹12000,Yes,"Poor Staff Behavior, Delayed Check-in"
18–25,Female,Falkland Islands (Malvinas),Employed,76K–1L,3–5,1–2 days,Leisure,Deluxe,Agent,Airport Pickup,5,4,2,3,"Wellness Package, Airport Pickup + Late Checkout",Morning,No,None,Sometimes,5,Definitely Yes,₹5001–₹8000,No,
18–25,Male,Pakistan,Retired,51K–75K,1–2 times,6–10,Leisure,Budget,Hotel Website,Pool,4,3,3,4,Wellness Package,Evening,Yes,Basic,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,
36–50,Female,Bolivia,Employed,>1L,>10,1–2 days,Leisure,Standard,OTA,"Spa, Airport Pickup",5,3,3,4,"Spa + Dinner, Gym + Breakfast",Evening,No,None,Sometimes,4,Probably Yes,₹8001–₹12000,No,Limited Food Options
36–50,Male,Myanmar,Employed,51K–75K,6–10,6–10,Leisure,Standard,Hotel Website,Restaurant,4,3,4,4,"Gym + Breakfast, Spa + Dinner",Morning,Yes,Platinum,Sometimes,4,Probably Yes,₹2000–₹5000,Yes,"Lack of Cleanliness, Delayed Check-in"
36–50,Female,Bahrain,Employed,25K–50K,3–5,6–10,Leisure,Deluxe,OTA,"Restaurant, Room Service, Spa",4,4,2,3,Spa + Dinner,Evening,Yes,Platinum,Rarely,4,Definitely Yes,<₹2000,Yes,Limited Wellness Services
36–50,Female,Northern Mariana Islands,Unemployed,25K–50K,6–10,3–5,Leisure,Budget,OTA,"Spa, Pool",3,2,3,5,Gym + Breakfast,Afternoon,Yes,Basic,Rarely,4,Probably Yes,₹2000–₹5000,Yes,
>65,Female,Gabon,Employed,25K–50K,1–2 times,3–5,Leisure,Suite,OTA,"Room Service, Airport Pickup, Gym, Restaurant",4,4,3,5,"Gym + Breakfast, Airport Pickup + Late Checkout",Evening,Yes,Silver,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,"Limited Food Options, Lack of Cleanliness, Limited Wellness Services"
36–50,Female,Nicaragua,Student,25K–50K,3–5,3–5,Leisure,Deluxe,OTA,"Room Service, Spa",4,3,3,3,"Spa + Dinner, Wellness Package",Evening,No,None,Frequently,3,Definitely No,₹5001–₹8000,Yes,"Poor Staff Behavior, Delayed Check-in"
26–35,Female,Costa Rica,Self-Employed,<25K,3–5,3–5,Leisure,Standard,OTA,Spa,4,3,4,4,Gym + Breakfast,Afternoon,Yes,Basic,Frequently,3,Definitely Yes,₹5001–₹8000,Yes,"High Prices, Lack of Cleanliness, Delayed Check-in"
36–50,Male,Romania,Employed,25K–50K,6–10,6–10,Leisure,Deluxe,OTA,"Pool, Room Service, Gym",5,3,4,4,Airport Pickup + Late Checkout,Afternoon,Yes,Platinum,Rarely,3,Probably Yes,₹2000–₹5000,No,
26–35,Female,Cook Islands,Employed,51K–75K,6–10,6–10,Medical,Budget,Hotel Website,"Room Service, Pool, Gym",3,3,4,3,Gym + Breakfast,Evening,Yes,Platinum,Sometimes,3,Not Sure,>₹12000,Yes,
26–35,Male,Guinea-Bissau,Employed,76K–1L,3–5,3–5,Leisure,Suite,OTA,Room Service,3,3,4,3,Airport Pickup + Late Checkout,Afternoon,No,None,Frequently,4,Definitely Yes,₹5001–₹8000,No,
18–25,Female,Martinique,Retired,51K–75K,>10,3–5,Leisure,Standard,OTA,"Room Service, Restaurant, Pool",4,3,3,3,Airport Pickup + Late Checkout,Afternoon,Yes,Platinum,Rarely,4,Probably No,₹5001–₹8000,No,"Poor Staff Behavior, Delayed Check-in"
18–25,Female,Central African Republic,Employed,76K–1L,1–2 times,>10,Leisure,Standard,OTA,"Restaurant, Airport Pickup",3,5,4,3,"Wellness Package, Gym + Breakfast",Morning,Yes,Basic,Sometimes,3,Not Sure,>₹12000,No,Limited Food Options
>65,Female,Lebanon,Self-Employed,<25K,6–10,>10,Business,Standard,Hotel Website,"Gym, Spa",4,2,4,4,Wellness Package,Afternoon,No,None,Sometimes,4,Not Sure,<₹2000,No,Limited Wellness Services
51–65,Male,Lithuania,Unemployed,25K–50K,>10,3–5,Business,Budget,OTA,Room Service,2,5,4,3,Wellness Package,Evening,Yes,Silver,Sometimes,3,Probably Yes,₹8001–₹12000,Yes,"High Prices, Poor Staff Behavior, Limited Wellness Services"
36–50,Female,Tokelau,Employed,51K–75K,1–2 times,3–5,Other,Suite,OTA,"Gym, Restaurant, Spa",4,3,3,1,"Spa + Dinner, Gym + Breakfast",Evening,No,None,Sometimes,4,Probably Yes,₹2000–₹5000,Yes,"Lack of Cleanliness, Poor Staff Behavior"
26–35,Female,Costa Rica,Employed,51K–75K,6–10,1–2 days,Leisure,Budget,Agent,"Restaurant, Pool, Gym, Spa",4,4,3,4,Spa + Dinner,Afternoon,Yes,Platinum,Frequently,5,Definitely Yes,₹5001–₹8000,Yes,"Lack of Cleanliness, Limited Food Options, Poor Staff Behavior"
26–35,Female,China,Employed,<25K,1–2 times,>10,Leisure,Deluxe,Hotel Website,"Spa, Airport Pickup",3,3,4,3,"Gym + Breakfast, Spa + Dinner",Afternoon,No,None,Rarely,3,Definitely Yes,>₹12000,Yes,"High Prices, Poor Staff Behavior, Limited Wellness Services"
18–25,Male,Saint Vincent and the Grenadines,Employed,76K–1L,3–5,1–2 days,Leisure,Standard,Agent,"Room Service, Restaurant",3,3,5,5,Wellness Package,Morning,Yes,Basic,Sometimes,3,Probably Yes,₹5001–₹8000,Yes,High Prices
26–35,Male,Thailand,Employed,76K–1L,3–5,3–5,Business,Suite,OTA,"Spa, Pool",3,3,4,4,Airport Pickup + Late Checkout,Late Night,No,None,Rarely,2,Probably Yes,<₹2000,Yes,"Lack of Cleanliness, High Prices"
36–50,Male,Falkland Islands (Malvinas),Unemployed,51K–75K,3–5,1–2 days,Leisure,Standard,OTA,"Spa, Pool",4,3,3,2,Airport Pickup + Late Checkout,Evening,Yes,Gold,Sometimes,4,Not Sure,<₹2000,Yes,
36–50,Male,Lebanon,Self-Employed,<25K,>10,1–2 days,Leisure,Standard,Hotel Website,"Gym, Airport Pickup, Room Service, Restaurant",4,3,3,2,Spa + Dinner,Evening,Yes,Basic,Frequently,4,Definitely Yes,₹2000–₹5000,No,"Limited Wellness Services, Lack of Cleanliness, High Prices"
36–50,Female,Martinique,Self-Employed,76K–1L,6–10,3–5,Leisure,Standard,OTA,Gym,3,3,3,3,"Airport Pickup + Late Checkout, Gym + Breakfast",Evening,Yes,Basic,Sometimes,4,Probably Yes,₹8001–₹12000,No,
26–35,Male,Namibia,Employed,51K–75K,3–5,>10,Leisure,Deluxe,OTA,"Restaurant, Airport Pickup",3,5,5,3,Spa + Dinner,Evening,No,None,Rarely,3,Probably No,₹2000–₹5000,No,"Poor Staff Behavior, Limited Wellness Services"
51–65,Non-binary,Niger,Retired,76K–1L,6–10,1–2 days,Business,Budget,OTA,"Gym, Airport Pickup, Spa",4,3,3,4,"Wellness Package, Airport Pickup + Late Checkout",Late Night,No,None,Sometimes,3,Probably No,₹2000–₹5000,Yes,"Delayed Check-in, Limited Wellness Services, Poor Staff Behavior"
36–50,Male,Cocos (Keeling) Islands,Unemployed,76K–1L,>10,3–5,Business,Budget,Agent,"Restaurant, Spa, Gym, Airport Pickup",3,4,4,3,"Airport Pickup + Late Checkout, Gym + Breakfast",Morning,Yes,Platinum,Rarely,4,Probably Yes,₹8001–₹12000,Yes,
36–50,Male,Mali,Retired,76K–1L,1–2 times,1–2 days,Other,Standard,OTA,"Pool, Gym",4,4,3,4,Airport Pickup + Late Checkout,Late Night,Yes,Platinum,Rarely,2,Definitely Yes,₹2000–₹5000,No,
36–50,Female,Iceland,Student,51K–75K,>10,1–2 days,Leisure,Deluxe,Agent,"Spa, Room Service, Airport Pickup",4,3,4,2,"Gym + Breakfast, Wellness Package",Evening,No,None,Sometimes,4,Definitely No,₹8001–₹12000,Yes,Limited Wellness Services
26–35,Female,Spain,Self-Employed,25K–50K,1–2 times,3–5,Leisure,Budget,Agent,"Spa, Gym",4,4,4,4,"Wellness Package, Spa + Dinner",Afternoon,No,None,Sometimes,2,Not Sure,₹2000–₹5000,No,"Lack of Cleanliness, Limited Wellness Services"
26–35,Female,Liberia,Student,51K–75K,6–10,3–5,Business,Standard,OTA,Gym,4,3,3,4,"Spa + Dinner, Gym + Breakfast",Evening,No,None,Sometimes,3,Not Sure,<₹2000,No,"Lack of Cleanliness, High Prices"
26–35,Female,Sri Lanka,Employed,51K–75K,3–5,1–2 days,Business,Standard,Hotel Website,"Spa, Restaurant, Gym, Airport Pickup",2,2,3,2,Airport Pickup + Late Checkout,Evening,No,None,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,"High Prices, Limited Wellness Services"
36–50,Female,Portugal,Student,76K–1L,1–2 times,3–5,Leisure,Deluxe,Hotel Website,Airport Pickup,2,4,5,5,Airport Pickup + Late Checkout,Evening,Yes,Platinum,Rarely,3,Definitely Yes,>₹12000,Yes,"Limited Food Options, Delayed Check-in, Limited Wellness Services"
18–25,Male,Tanzania,Self-Employed,25K–50K,3–5,1–2 days,Leisure,Suite,Agent,"Pool, Airport Pickup, Restaurant, Room Service",3,3,4,4,"Spa + Dinner, Gym + Breakfast",Afternoon,Yes,Silver,Rarely,2,Not Sure,₹5001–₹8000,Yes,Poor Staff Behavior
18–25,Prefer not to say,Sri Lanka,Self-Employed,25K–50K,3–5,3–5,Leisure,Standard,OTA,"Airport Pickup, Room Service",5,3,4,4,"Wellness Package, Spa + Dinner",Evening,Yes,Silver,Sometimes,3,Not Sure,₹2000–₹5000,Yes,"Lack of Cleanliness, Delayed Check-in, High Prices"
18–25,Non-binary,Samoa,Employed,76K–1L,3–5,>10,Business,Standard,Hotel Website,"Restaurant, Pool",5,4,4,3,Spa + Dinner,Morning,No,None,Frequently,3,Definitely Yes,₹5001–₹8000,Yes,"Limited Food Options, Delayed Check-in"
18–25,Female,French Guiana,Employed,76K–1L,1–2 times,>10,Leisure,Standard,OTA,"Room Service, Airport Pickup, Gym, Spa",5,3,4,5,"Wellness Package, Spa + Dinner",Evening,Yes,Platinum,Frequently,4,Not Sure,₹5001–₹8000,No,"Poor Staff Behavior, Limited Wellness Services, Delayed Check-in"
51–65,Male,Cook Islands,Employed,>1L,3–5,3–5,Business,Budget,Agent,"Pool, Spa, Restaurant",3,4,5,3,"Airport Pickup + Late Checkout, Wellness Package",Late Night,Yes,Basic,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,
36–50,Female,Kazakhstan,Employed,76K–1L,>10,3–5,Business,Standard,OTA,"Pool, Spa, Airport Pickup",2,4,4,4,"Wellness Package, Spa + Dinner",Evening,Yes,Basic,Rarely,3,Not Sure,₹8001–₹12000,Yes,"Limited Food Options, Limited Wellness Services, Poor Staff Behavior"
26–35,Male,Colombia,Employed,51K–75K,3–5,>10,Leisure,Deluxe,OTA,"Restaurant, Room Service",2,3,4,4,"Gym + Breakfast, Spa + Dinner",Evening,Yes,Basic,Sometimes,2,Probably No,₹2000–₹5000,Yes,"High Prices, Lack of Cleanliness, Delayed Check-in"
18–25,Male,Japan,Employed,51K–75K,1–2 times,1–2 days,Business,Standard,Hotel Website,"Pool, Room Service",3,4,2,3,"Spa + Dinner, Wellness Package",Evening,Yes,Basic,Sometimes,4,Definitely Yes,₹2000–₹5000,Yes,"High Prices, Delayed Check-in"
26–35,Male,Lebanon,Self-Employed,76K–1L,3–5,6–10,Business,Suite,Agent,Gym,3,3,3,5,"Spa + Dinner, Wellness Package",Afternoon,Yes,Basic,Rarely,4,Definitely Yes,₹5001–₹8000,No,
26–35,Male,Guam,Student,51K–75K,1–2 times,>10,Leisure,Standard,Hotel Website,"Pool, Gym",5,5,3,4,Gym + Breakfast,Evening,No,None,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,"Limited Food Options, High Prices"
26–35,Female,Micronesia,Student,51K–75K,6–10,1–2 days,Leisure,Deluxe,OTA,"Restaurant, Gym, Room Service, Pool",4,3,5,4,Spa + Dinner,Evening,Yes,Silver,Frequently,5,Definitely Yes,>₹12000,No,
26–35,Female,Guinea,Employed,25K–50K,6–10,1–2 days,Medical,Standard,OTA,"Pool, Restaurant, Spa",4,4,1,2,Gym + Breakfast,Morning,Yes,Gold,Sometimes,4,Probably Yes,<₹2000,No,
26–35,Female,Philippines,Unemployed,51K–75K,3–5,>10,Leisure,Standard,Walk-in,"Airport Pickup, Pool, Restaurant",3,4,3,5,"Wellness Package, Gym + Breakfast",Morning,No,None,Rarely,3,Definitely Yes,₹8001–₹12000,No,
36–50,Male,Palestinian Territory,Self-Employed,76K–1L,3–5,3–5,Business,Standard,Hotel Website,Room Service,3,4,1,3,Spa + Dinner,Evening,No,None,Sometimes,3,Definitely Yes,₹2000–₹5000,Yes,"Limited Food Options, Poor Staff Behavior"
36–50,Male,Vanuatu,Self-Employed,25K–50K,6–10,1–2 days,Business,Standard,Agent,"Room Service, Gym, Restaurant",4,3,3,4,"Gym + Breakfast, Wellness Package",Afternoon,No,None,Rarely,3,Probably Yes,₹8001–₹12000,Yes,
18–25,Male,Netherlands Antilles,Employed,25K–50K,3–5,1–2 days,Other,Standard,OTA,"Airport Pickup, Pool, Room Service",4,3,3,3,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Gold,Rarely,3,Not Sure,<₹2000,No,High Prices
26–35,Prefer not to say,Montserrat,Employed,25K–50K,6–10,3–5,Leisure,Deluxe,OTA,"Restaurant, Airport Pickup, Pool, Room Service",4,2,5,3,Airport Pickup + Late Checkout,Afternoon,No,None,Frequently,3,Not Sure,>₹12000,No,Poor Staff Behavior
36–50,Male,Marshall Islands,Student,25K–50K,3–5,3–5,Leisure,Suite,Hotel Website,"Airport Pickup, Spa, Gym",3,4,4,4,Wellness Package,Morning,Yes,Basic,Rarely,3,Not Sure,₹2000–₹5000,No,Delayed Check-in
26–35,Female,Netherlands,Self-Employed,25K–50K,6–10,6–10,Business,Standard,Agent,Gym,4,4,3,4,"Gym + Breakfast, Wellness Package",Evening,Yes,Basic,Rarely,2,Definitely Yes,₹8001–₹12000,Yes,Lack of Cleanliness
51–65,Female,Slovenia,Unemployed,51K–75K,3–5,>10,Leisure,Budget,OTA,Restaurant,4,4,4,2,Airport Pickup + Late Checkout,Evening,No,None,Sometimes,5,Probably Yes,₹5001–₹8000,Yes,"Delayed Check-in, Poor Staff Behavior"
36–50,Male,Guinea,Self-Employed,>1L,3–5,1–2 days,Business,Standard,Agent,"Pool, Restaurant, Spa",3,1,4,4,Gym + Breakfast,Evening,No,None,Frequently,4,Not Sure,₹5001–₹8000,No,"Delayed Check-in, Poor Staff Behavior, Limited Wellness Services"
26–35,Female,Macao,Retired,51K–75K,>10,3–5,Leisure,Standard,Hotel Website,"Restaurant, Gym",3,2,4,4,"Airport Pickup + Late Checkout, Wellness Package",Evening,Yes,Gold,Sometimes,5,Definitely Yes,₹2000–₹5000,Yes,"Lack of Cleanliness, High Prices, Limited Food Options"
18–25,Female,Thailand,Self-Employed,25K–50K,3–5,3–5,Other,Budget,OTA,"Airport Pickup, Restaurant, Pool",4,3,3,3,"Spa + Dinner, Wellness Package",Evening,No,None,Rarely,4,Definitely No,₹8001–₹12000,Yes,Limited Food Options
36–50,Female,Bahamas,Employed,<25K,3–5,3–5,Other,Deluxe,OTA,Restaurant,3,4,3,5,Wellness Package,Evening,No,None,Sometimes,4,Probably Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Lack of Cleanliness, Limited Food Options"
18–25,Female,Belgium,Unemployed,51K–75K,1–2 times,1–2 days,Leisure,Suite,OTA,Spa,5,4,3,2,"Gym + Breakfast, Airport Pickup + Late Checkout",Morning,No,None,Sometimes,2,Definitely Yes,₹8001–₹12000,No,High Prices
36–50,Male,Benin,Student,25K–50K,3–5,>10,Leisure,Suite,Hotel Website,"Restaurant, Gym, Airport Pickup, Pool",4,3,4,3,Airport Pickup + Late Checkout,Afternoon,Yes,Gold,Sometimes,4,Probably Yes,₹5001–₹8000,Yes,Limited Wellness Services
51–65,Male,Egypt,Employed,76K–1L,3–5,6–10,Other,Budget,OTA,"Restaurant, Gym, Spa",3,4,4,4,Gym + Breakfast,Afternoon,Yes,Platinum,Sometimes,2,Not Sure,>₹12000,Yes,"Limited Food Options, Delayed Check-in, Lack of Cleanliness"
36–50,Female,Swaziland,Employed,51K–75K,1–2 times,3–5,Leisure,Deluxe,OTA,"Gym, Pool, Airport Pickup",3,3,5,3,"Spa + Dinner, Wellness Package",Morning,Yes,Platinum,Rarely,3,Probably Yes,₹5001–₹8000,Yes,"Limited Food Options, High Prices, Limited Wellness Services"
26–35,Female,New Caledonia,Student,76K–1L,1–2 times,3–5,Business,Deluxe,Agent,"Pool, Gym, Airport Pickup, Spa",4,4,4,4,"Airport Pickup + Late Checkout, Spa + Dinner",Afternoon,Yes,Gold,Frequently,5,Definitely Yes,₹2000–₹5000,Yes,
36–50,Male,Isle of Man,Employed,25K–50K,3–5,1–2 days,Leisure,Standard,OTA,Pool,3,4,1,4,Wellness Package,Morning,Yes,Basic,Sometimes,3,Probably Yes,₹5001–₹8000,No,Delayed Check-in
26–35,Female,Isle of Man,Employed,51K–75K,6–10,3–5,Business,Standard,OTA,"Pool, Gym, Airport Pickup, Restaurant",3,4,4,3,"Gym + Breakfast, Airport Pickup + Late Checkout",Late Night,No,None,Rarely,3,Definitely No,<₹2000,Yes,"Limited Wellness Services, Lack of Cleanliness, High Prices"
36–50,Female,Montserrat,Employed,25K–50K,3–5,3–5,Leisure,Deluxe,OTA,"Room Service, Pool",4,3,2,4,Gym + Breakfast,Afternoon,No,None,Sometimes,4,Probably No,₹2000–₹5000,Yes,"Delayed Check-in, Poor Staff Behavior, Limited Food Options"
51–65,Female,Philippines,Employed,>1L,1–2 times,3–5,Leisure,Standard,Hotel Website,"Restaurant, Airport Pickup, Room Service",4,5,3,3,"Spa + Dinner, Gym + Breakfast",Afternoon,Yes,Silver,Rarely,3,Definitely Yes,₹2000–₹5000,Yes,"Poor Staff Behavior, Limited Wellness Services, Limited Food Options"
26–35,Male,Saint Vincent and the Grenadines,Student,51K–75K,6–10,>10,Leisure,Standard,Hotel Website,Room Service,4,4,3,4,"Wellness Package, Spa + Dinner",Evening,Yes,Silver,Sometimes,3,Probably Yes,₹8001–₹12000,Yes,
